Agostinho,['Portugal (Azores)']
Angot,['France']
Askinazy,['USSR']
Azzi,['Italy']
Balkan,['Turkey']
Bamford,['Great Britain (Ceylon)']
Barloti,['Latvia']
Bates,['New Zealand']
Berce,['Belgium']
Bergeiro,['Uruguay']
Berloty,['France (French Syria)']
Bernard,['Belgium (Belgian Congo)']
Berényi,['Hungary']
Birkeland,['Norway']
Boughner,['Canada']
Braak,['The Netherlands']
Brounov,['Russia']
Bureau,['France']
Burgos,['Argentina']
Börnstein,['Prussia']
Carton,['Indochine']
Chaptal,['France']
Connor,['Canada']
Deij,['The Netherlands']
Delcambre,['France']
Dongier,['France']
Dop,['Italy']
Duckert,['Germany']
Durst,['Great Britain']
Engler,['Switzerland']
Eredia,['Italy']
Fahmy,['Egypt']
Feige,['Palestine']
Ferraz,['Brasil']
Figuereido,['Portugal']
Fintiklis (Findlikis),['Greece']
Fisher,['Great Britain']
Fleischmann,['Hungary']
Foley,['Australia']
Fontseré i Riba,['Spain']
Galbis,['Spain']
Geiger,['Germany']
Geslin,['France']
Gillen,['Luxemburg']
Girola,['Argentina']
Godard,['France']
Gomes,['Portugal']
Gumiński,['Poland']
Hagem,['Norway']
Hansen,['Denmark']
Hartman,['The Netherlands']
Hergesell,['Bavaria']
Hesselberg,['Norway']
Hiltner,['Germany']
Hirata,['Japan']
Hirschhorn,['Argentina']
Holdefleiss,['Germany']
Hooker,['Great Britain']
Hubert,['France']
Jacobs,['USA']
Keen,['Great Britain']
Keränen,['Finland']
Kessler,['Germany']
Kincer,['USA']
Kiroff,['Bulgaria']
Knoch,['Germany']
Koloskov,['USSR']
Korhonen,['Finland']
Koschmieder,['Germany']
La Cour,['Denmark']
Lorente Pérez,['Spain']
Lugeon,['Poland']
Mariolopulos,['Greece']
Mathias,['France']
Melander,['Finland']
Mercanton,['Switzerland']
Meseguer y Marin,['Spain']
Nagle,['Ireland']
Normand,['Great Britain (India)']
Nuño,['Chile']
Okada,['Japan']
Palazzo,['Italy']
Patterson,['Canada']
Peake,['Great Britain (Southern Rhodesia)']
Pires Xavier,['Brasil']
Poncelet,['Belgium']
Proudhomme,['France']
Putnam,['Canada']
Ramdas,['Great Britain']
Rey,['France']
Ripley,['Canada']
Roncali,['Italy']
Roy,['Great Britain (India)']
Ryder,['Denmark']
Réthly,['Hungary']
Sabucedo del Arenal,['Spain']
Sanson,['France']
Sarle,['USA']
Schedler,['Austria']
Schindler,['France']
Schmidt,['Austria']
Schubert,['Germany']
Schönrock,['USSR']
Seelye,['New Zealand']
Selianinov,['USSR']
Shaw,['Great Britain']
Shutt,['Canada']
Simpson,['Great Britain']
Sinelshikov,['USSR']
Siriez,['France']
Smit,['South Africa']
Smith,['United States']
Sophoterow,['USSR']
Stewart,['South Africa']
Stupart,['Canada']
Sutton,['Egypt']
T'U,['China']
Taylor,['Australia']
Tiscornia,['Uruguay']
Wallén,['Sweden']
Walter,['Great Britain (Kenya)']
Wehrlé,['France']
Wery,['France']
Westerdijk,['The Netherlands']
Whipple,['Great Britain']
Zender Honigman,['Peru']
da Câmara,['Portugal']
de Boer,['The Netherlands (Dutch East Indies Jakarta)']
van Everdingen,['The Netherlands']
van Gulik,['The Netherlands']
Åkerman,['Sweden']
Ångstrøm,['Sweden']
